HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 522,142,\N,5.7,1.5777634,-49.07509405,00 06 18.66,-49 04 30.3,39.0,0.64,25.641,575.21,-39.94,6.319,5.763,3.655323035132496,0.03563761828652989,3.7183230351324967,0.03563761828652989,0.519,0.556
HIP 48502,\N,\N,10.19,148.36739891,-31.75193178,09 53 28.18,-31 45 07.0,39.02,2.52,25.6279,-157.03,-119.28,12.114,10.358,8.146436325292497,0.14043406935651426,8.314436325292498,0.14043406935651337,1.375,1.756
HIP 60370,107692,\N,6.7,185.68615139,-39.17732244,12 22 44.68,-39 10 38.4,39.02,0.8,25.6279,173.97,-147.5,7.498,6.777,4.656436325292496,0.04452643243099175,4.733436325292496,0.04452643243099175,0.639,0.721
HIP 19333,\N,\N,9.71,62.14922867,-59.52653074,04 08 35.81,-59 31 35.5,39.03,0.93,25.6213,-83.22,-119.12,11.158,9.83,7.666992756406246,0.05175125969581318,7.786992756406245,0.05175125969581318,1.211,1.328
HIP 2711,3158,\N,5.57,8.61506261,-52.37318294,00 34 27.62,-52 22 23.5,39.03,0.62,25.6213,227.8,38.21,6.128,5.625,3.526992756406245,0.03449721122111615,3.581992756406245,0.03449721122111615,0.472,0.503
HIP 75686,\N,\N,10.2,231.92803486,2.59779906,15 27 42.73,+02 35 52.1,39.03,1.7,25.6213,-52.99,-17.57,11.685,10.515,8.156992756406243,0.09464105039923432,8.471992756406244,0.09464105039923432,1.334,1.17
HIP 81348,149957,\N,9.49,249.20349414,31.09789229,16 36 48.84,+31 05 52.4,39.04,1.29,25.6148,340.36,-447.79,11.038,9.631,7.447549044973273,0.07177816510602897,7.588549044973273,0.07177816510602897,1.2,1.407
HIP 400,225261,\N,7.82,1.23366004,23.26964739,00 04 56.08,+23 16 10.7,39.06,0.93,25.6016,382.15,-7.45,8.763,7.902,5.778661194759178,0.05171149714962775,5.860661194759177,0.05171149714962775,0.755,0.861
HIP 6405,8262,\N,6.96,20.57305873,18.68271329,01 22 17.53,+18 40 57.8,39.07,0.8,25.5951,555.56,-3.76,7.725,7.032,4.919217056123924,0.04446943359473776,4.991217056123923,0.04446943359473776,0.627,0.693
HIP 19930,26900,\N,8.25,64.13613292,36.50237672,04 16 32.67,+36 30 08.6,39.08,1.16,25.5885,-27.31,-228.34,9.433,8.362,6.209772775233677,0.06447410845460588,6.321772775233677,0.06447410845460588,0.918,1.071
HIP 39710,67458,\N,6.8,121.75122909,-29.40207468,08 07 00.29,-29 24 07.5,39.08,0.77,25.5885,339.59,-354.69,7.525,6.863,4.759772775233678,0.04279043437263352,4.822772775233677,0.04279043437263352,0.6,0.662
HIP 96258,184960,\N,5.71,293.58233594,51.23707706,19 34 19.76,+51 14 13.5,39.08,0.47,25.5885,31.72,-188.14,6.302,5.775,3.669772775233678,0.02611671552411554,3.7347727752336777,0.02611671552411554,0.475,0.527
HIP 10339,13531,\N,7.35,33.30537928,40.50782151,02 13 13.29,+40 30 28.2,39.1,0.91,25.5754,58.11,-95.9,8.219,7.421,5.310883786979335,0.050547232514198015,5.381883786979334,0.050547232514198015,0.7,0.798
HIP 15797,\N,\N,8.98,50.88912681,43.95809928,03 23 33.39,+43 57 29.2,39.1,1.24,25.5754,120.7,-334.94,10.242,9.098,6.940883786979335,0.06888821062242201,7.058883786979336,0.06888821062242201,0.98,1.144
HIP 35628,56168,\N,8.38,110.27849906,67.66166399,07 21 06.84,+67 39 42.0,39.1,1.15,25.5754,-70.56,70.11,9.525,8.492,6.340883786979336,0.06388526118097015,6.452883786979336,0.06388526118097015,0.888,1.033
